|id| |name| |birth_date|
|155| |James Woods| |1947-04-18|
|156| |Millard Mitchell| |1903-08-14|
|157| |Diedrich Bader| |1966-12-24|
|158| |Marlon Wayans| |1972-07-23|
|159| |David Strathairn| |1949-01-26|
|160| |Will Sampson| |1933-09-27|
|161| |Katrin Saß| |1956-10-23|
|162| |Jasmine Trinca| |1981-04-24|
|163| |Tia Carrere| |1967-01-02|
|164| || ||
|165| |Ving Rhames| |1959-05-12|
|166| |Caroline O'Connor| |1962-09-02|
|167| |Marcia Gay Harden| |1959-08-14|
|168| || ||
|169| |Jane Fonda| |1937-12-21|
|170| |Adam Campbell| |1980-11-07|
|171| |Tilda Swinton| |1960-11-05|
|172| |Harry Myers| |1882-09-05|
|173| |Marlon Brando| |1924-04-03|
|174| |William Sylvester| |1922-01-31|
|175| |Sophie Marceau| |1966-11-17|
|176| |Emil Jannings| |1884-07-23|
|177| |Najwa Nimri| |1972-02-14|
|178| |Paul Simon| |1941-10-13|
|179| |Mary-Louise Parker| |1964-08-02|
|180| |Bonnie Hunt| |1961-09-22|
|181| |Richard Roxburgh| |1962-01-23|
|182| |David Niven| |1910-03-01|
|183| |Zooey Deschanel| |1980-01-17|
|184| |James Caan| |1940-03-26|
|185| |John Ratzenberger| |1947-04-06|
|186| |Matthew Garber| |1956-03-25|
|187| |Justus D. Barnes| |1862-10-02|
|188| |Irving Pichel| |1891-06-24|
|189| |Manuela Velasco| |1975-10-23|
|190| |Anita Briem| |1982-05-29|
|191| |Rachel McAdams| |1976-11-17|
|192| |Cillian Murphy| |1976-05-25|
|193| |Zoe McLellan| |1974-11-06|
|194| |Javier Bardem| |1969-03-01|
|195| |Silvio Orlando| |1957-06-30|
|196| |Christopher Olsen| |1946-09-19|
|197| |Downey, Robert, Jr.| |1965-04-04|
|198| |Elaine Cassidy| |1979-12-31|
|199| |Edna Best| |1900-03-03|
|200| |Christopher Walken| |1943-03-31|
|201| |Pamela Adlon| |1966-07-09|
|202| |Pierce Brosnan| |1953-05-16|
|203| |Werner Krauss| |1884-06-23|
|204| |Donald O'Connor| |1925-08-28|
|205| |Keir Dullea| |1936-05-30|
|206| || ||
|207| |Danny Devito| |1944-11-17|
|208| |Gustav von Wangenheim| |1895-02-18|
|209| |The Right Honourable| |1907-09-27|
|210| || ||
|211| |Leonor Watling| |1975-07-28|
|212| |Rosamund Hanson| |1989-09-24|
|213| |Laurie Metcalf| |1955-06-16|
|214| |John Wood| |1930-01-01|
|215| |Jaye Davidson| |1968-03-21|
|216| |China Zorrilla| |1922-03-14|
|217| |Stefano Accorsi| |1971-03-02|
|218| |Alex Jennings| |1957-05-10|
|219| |Robert DeNiro| |1943-08-17|
|220| |Karen Dotrice| |1955-11-09|
|221| |Anna Popplewell| |1988-12-16|
|222| |Seth Rogen| |1982-04-15|
|223| |Josh Hutcherson| |1992-10-12|
|224| |Thora Birch| |1982-03-11|
